orbital_period,transit_duration,planetary_radius,stellar_magnitude,transit_depth,impact_parameter,equilibrium_temperature,stellar_radius,stellar_mass,disposition_score,object_id,dataset,disposition
8.2781,,,,,,,,,,EPIC 203823381.01,K2,FALSE_POSITIVE
0.6199,,,,,,,0.596423,0.585161,,EPIC 203849738.01,K2,FALSE_POSITIVE
28.46762,,37.0,,,,,1.97,,,EPIC 203867512.01,K2,CANDIDATE
4.5417,,,,,,,0.641751,0.620907,,EPIC 203868608.01,K2,FALSE_POSITIVE
83830.0,,12.0,,,,,0.74,,,EPIC 203914123.01,K2,CANDIDATE
8.79689,,4.85,,,,,2.047,,,EPIC 203925865.01,K2,CANDIDATE
1.153886,,99.0,,,,,1.8,,,EPIC 203929178.01,K2,CANDIDATE
1.6398934,,33.0,,,,,0.79,,,EPIC 203942067.01,K2,CANDIDATE
1.486243,,58.0,,,,,1.87,,,EPIC 204043888.01,K2,FALSE_POSITIVE
23.210585,,5.7,,,,,0.81,,,EPIC 204057095.01,K2,CANDIDATE
1.330023,,44.0,,,,,2.4,,,EPIC 204124270.01,K2,CANDIDATE
50.73641,,10.31,,,,,1.349,,,EPIC 204128016.01,K2,CANDIDATE
1.124,,,,,,,0.50547,0.503436,,EPIC 204143627.01,K2,FALSE_POSITIVE
0.7474,,,,,,,,,,EPIC 204165788.01,K2,FALSE_POSITIVE
46.1373,,2.6,,,,,0.723,,,EPIC 204197636.01,K2,CANDIDATE
1.957,,,,,,,45.3731,,,EPIC 204276894.01,K2,CANDIDATE
22.6398,,1.27,,,,,0.862,,,EPIC 204308061.01,K2,CANDIDATE
24.193613,,30.7,,,,,0.87,,,EPIC 204312847.01,K2,CANDIDATE
2.784496,,2.09,,,,,0.256,,,EPIC 204322265.01,K2,CANDIDATE
0.64292573,,,,,,,0.362033,0.348098,,EPIC 204346718.01,K2,CANDIDATE
1.4562,,,,,,,,,,EPIC 204364515.01,K2,FALSE_POSITIVE
2.8742,,,,,,,1.41662,,,EPIC 204432860.01,K2,FALSE_POSITIVE
10.2236,,132.0,,,,,2.04,,,EPIC 204489514.01,K2,CANDIDATE
1.6281,,,,,,,2.74444,1.013,,EPIC 204506777.01,K2,FALSE_POSITIVE
2.7518,,0.669,,,,,0.647,,,EPIC 204529573.01,K2,CANDIDATE
,,133.0,,,,,8.12,,,EPIC 204546592.01,K2,CANDIDATE
23.277669,,32.8,,,,,0.68,,,EPIC 204576757.01,K2,CANDIDATE
24.6842,,2.49,,,,,1.17,,,EPIC 204579445.01,K2,CANDIDATE
2.2,,8.4,,,,,0.87,,,EPIC 204634789.01,K2,CANDIDATE
2.64594828,,,,,,,1.98054,1.39,,EPIC 204649811.01,K2,CANDIDATE
20.98296043,,,,,,,0.739921,0.781,,EPIC 204658292.01,K2,CANDIDATE
1.5271792,,,,,,,0.899453,0.93,,EPIC 204676499.01,K2,CANDIDATE
7.8392,,1.46,,,,,1.115,,,EPIC 204750116.02,K2,CANDIDATE
9.2048,,,,,,,3.61562,3.165,,EPIC 204760247.01,K2,FALSE_POSITIVE
2.32046168,,,,,,,,,,EPIC 204763194.01,K2,CANDIDATE
1.94297,,2.571,,,,,0.436,0.486,,EPIC 204791347.01,K2,CANDIDATE
1.3178719,,62.0,,,,,1.975,,,EPIC 204873331.01,K2,FALSE_POSITIVE
0.2338108,,,,,,,,,,EPIC 204880394.01,K2,CANDIDATE
1.1488,,,,,,,0.984957,0.418,,EPIC 204882444.01,K2,FALSE_POSITIVE
46.38363,,3.22,,,,,0.762,,,EPIC 204884005.01,K2,CANDIDATE
16.563155,,1.66,,,,,0.48,,,EPIC 204888276.01,K2,CANDIDATE
18.357773,,1.74,,,,,0.75,,,EPIC 204914585.01,K2,CANDIDATE
21.9184,,3.18,,,,,0.72,,,EPIC 204990932.01,K2,CANDIDATE
49.8558,,3.29,,,,,1.359,,,EPIC 204991696.01,K2,CANDIDATE
4.981838,,2.39347065,,,,,0.978267,,,EPIC 205029914.01,K2,CANDIDATE
3.3055191,,1.27,,,,,0.35,,,EPIC 205040048.01,K2,CANDIDATE
1.8361,,,,,,,,,,EPIC 205046529.01,K2,FALSE_POSITIVE
14.5444413,,,,,,,,,,EPIC 205047565.01,K2,CANDIDATE
4.30221683,,,,,,,4.08069,1.6,,EPIC 205050711.01,K2,CANDIDATE
8.02415,,194.0,,,,,6.1,,,EPIC 205064326.01,K2,FALSE_POSITIVE
11.31028,,18.9,,,,,1.44,,,EPIC 205084841.01,K2,CANDIDATE
16.63311,,44.0,,,,,2.19,,,EPIC 205145448.01,K2,CANDIDATE
1.057171,,1.51,,,,,1.004,,,EPIC 205146011.01,K2,CANDIDATE
4.377326,,27.0,,,,,1.43,,,EPIC 205148699.01,K2,FALSE_POSITIVE
0.98036126,,1.44,,,,,0.58,,,EPIC 205152172.01,K2,CANDIDATE
14.2005,,2.36,,,,,0.786,,,EPIC 205170731.01,K2,CANDIDATE
28.8077,,2.08,,,,,0.215,,,EPIC 205205452.01,K2,CANDIDATE
3.75927,,68.0,,,,,10.7,,,EPIC 205224877.01,K2,CANDIDATE
2.41628,,2.68,,,,,1.01,,,EPIC 205242733.01,K2,CANDIDATE
4.4984354,,3.12,,,,,0.66,,,EPIC 205252523.01,K2,CANDIDATE
0.3938505,,13.7,,,,,2.16,,,EPIC 205377483.01,K2,CANDIDATE
2.3240489,,33.4,,,,,0.78,,,EPIC 205463986.01,K2,CANDIDATE
1.86732,,0.648,,,,,0.693,,,EPIC 205470347.01,K2,CANDIDATE
22.9735,,2.61,,,,,1.067,,,EPIC 205483055.01,K2,CANDIDATE
5.6683,,,,,,,0.956267,0.471,,EPIC 205483258.01,K2,FALSE_POSITIVE
14.658196,,1.6,,,,,0.45,,,EPIC 205489894.01,K2,CANDIDATE
6.4349,,2.47,,,,,1.493,,,EPIC 205503762.01,K2,CANDIDATE
4.27065,,7.6,,,,,1.5,,,EPIC 205530323.01,K2,CANDIDATE
7.64309,,8.0,,,,,1.5,,,EPIC 205530323.02,K2,CANDIDATE
16.858,,5.6,,,,,1.07,,,EPIC 205570849.01,K2,CANDIDATE
2.167697,,12.14,,,,,2.489,,,EPIC 205618538.01,K2,CANDIDATE
19.2299,,1.96,,,,,0.612,,,EPIC 205632508.01,K2,CANDIDATE
5.07152,,3.2,,,,,0.426,,,EPIC 205652650.01,K2,CANDIDATE
8.1191,,57.0,,,,,1.2,,,EPIC 205703094.01,K2,CANDIDATE
16.235,,11.0,,,,,1.2,,,EPIC 205703094.02,K2,CANDIDATE
24.9922,,36.0,,,,,1.2,,,EPIC 205703094.03,K2,FALSE_POSITIVE
4.20773,,1.47,,,,,0.834,,,EPIC 205938820.01,K2,CANDIDATE
1.1761477,,19.3,,,,,2.38,,,EPIC 205939498.01,K2,CANDIDATE
27.270191,,2.5,,,,,1.612,1.275,,EPIC 205943325.01,K2,CANDIDATE
2.475573,,2.98,,,,,0.888,,,EPIC 205944181.01,K2,CANDIDATE
17.7259,,23.4,,,,,1.752,,,EPIC 205947161.01,K2,CANDIDATE
54.169832,,22.0,,,,,0.55,,,EPIC 205947214.01,K2,CANDIDATE
8.0468,,1.18,,,,,,0.907,,EPIC 205950854 c,K2,CONFIRMED
